"","TLS_ID","stemlocx_.m._x","stemlocy_.m._x","Vol_QSM_avg_.m3._x","BLEN..m.","Hgt_pts_.m._x","DBH_TLS_.m._x","DBH_census_.m._x","leaf_area","leaf_area_start","hmean"
"548","1009b",110.8844669,112.7866266,0.9979,416.6246162,20.789095,0.234783383,0.245,114.8,229.5,13.8229908880025
"549","1035a",22.49969873,142.5407777,0.8723,309.3829495,20.4295526,0.23760258,0.257,85.2,170.5,13.1791794136191
"550","1035b",22.09481216,142.6242516,0.07168,31.31271644,10.9281385,0.113746416,0.109,8.6,17.3,7.63495733538388
"551","1075a",48.27149992,135.8374123,1.3399,406.2091661,20.2828512,0.294451982,0.299,111.9,223.8,6.74560766416808
"552","1075b",48.96312589,136.1722569,0.7067,265.2278456,19.6031738,0.219259574,0.219,73.1,146.1,11.972424467922
"553","1195a",55.48999536,136.0686684,0.7938,314.251747,19.8121176,0.244232601,0.266,86.6,173.1,14.9219078794907
"554","1195b",54.87703078,136.1994651,0.03582,13.59570012,6.8171956,0.092,0.098,3.7,7.5,2.54329827499648
"555","1195c",56.18856642,136.502741,0.10321,47.62432378,12.77498544,0.116306646,0.125,13.1,26.2,8.31216825763389
"556","1210a",37.60309804,144.0645549,1.1465,518.9511306,20.1815916,0.273446849,0.286,143,285.9,14.725247877436
"557","1210b",37.16721383,144.3114936,0.9728,434.1491854,20.0515674,0.270536025,0.277,119.6,239.2,7.45707169910128
"558","122a",21.95588218,118.9667238,1.4541,580.7638045,19.2249264,0.295529492,0.291,160,320,14.0265741611453
"559","122b",21.65086129,118.6617202,0.8796,260.4677002,17.4646144,0.27556827,0.264,71.8,143.5,4.11821255440225
"560","122c",21.36516634,119.0191699,0.2372,126.3290455,12.9685435,0.163494101,0.161,34.8,69.6,7.56075966783634
"561","122d",22.89191255,118.0491517,1.1999,362.7576737,17.7854993,0.289008168,0.311,99.9,199.9,6.67370054185457
"562","122e",22.5707859,117.729633,0.7908,418.8099663,14.835657,0.258692142,0.256,115.4,230.8,9.1726245777795
"563","122f",22.26737708,117.9275057,1.1337,362.0458528,18.0243,0.282328817,0.293,99.7,199.5,4.68480881851392
"564","122h",21.27243128,118.0530308,0.06558,17.57274223,4.4377093,0.1501,0.138,4.8,9.7,1.08305138107358
