TLS_ID,stemlocx_[m]_x,stemlocy_[m]_x,Vol_QSM_avg_[m3]_x,BLEN (m),Hgt_pts_[m]_x,DBH_TLS_[m]_x,DBH_census_[m]_x,leaf_area,leaf_area_start
2149,47.68657496,190.2066348,0.0572,84.78578316,8.518862,0.08398,0.085,23.4,46.7
2160,58.77326446,104.1968572,0.331,191.1081432,18.1735344,0.162878079,0.161,52.6,105.3
2172,68.86442566,174.9497781,0.222,318.8244178,13.6518893,0.108402489,0.113,87.8,175.7
2176,42.12261558,179.1226685,0.06941,68.30200223,13.2773824,0.087300572,0.088,18.8,37.6
2184,21.36307975,142.1742082,0.05703,40.44594791,9.134826,0.106127129,0.098,11.1,22.3
2193,94.73254426,166.3143702,0.04037,80.99352662,4.868401,0.06279,0.064,22.3,44.6
2215,79.55946535,192.3011185,0.03397,43.02977053,7.677957,0.081719056,0.079,11.9,23.7
2225,119.0271878,156.8305349,0.2629,160.0792915,14.605717,0.155926444,0.156,44.1,88.2
2227,127.1437637,104.130262,0.5649,282.8469951,14.7508579,0.195219564,0.201,77.9,155.8
2232,55.63828447,189.6941509,0.03184,79.75953032,8.604319,0.077765261,0.061,22.0,43.9
2237,12.24280072,134.352854,0.2819,135.2145887,14.305772,0.177710724,0.169,37.2,74.5
2240,52.3587139,185.413417,0.0572,94.94838867,9.269501,0.073455254,0.073,26.2,52.3
2262,57.22278786,121.1171337,0.4118,218.643116,17.6259165,0.167973412,0.161,60.2,120.5
2283,20.41304097,191.8760861,0.124,119.6552484,11.2465643,0.111279635,0.096,33.0,65.9
2284,22.4377383,112.1975527,0.3162,208.7927043,14.1922394,0.15391322,0.156,57.5,115.0
2290,139.1877796,144.4286999,0.3326,463.5050721,13.2023783,0.151492298,0.144,127.7,255.4
2293,22.22269094,145.6321102,0.1546,197.8881999,12.5968358,0.11089,0.115,54.5,109.0
2308,87.33242566,168.1274354,0.01858,24.34459736,9.1322507,0.05947,0.055,6.7,13.4
2312,69.8177654,172.7250365,0.3642,544.1905591,10.834122,0.10277,0.121,149.9,299.8
2317,138.8643805,139.6803981,0.2371,253.025085,15.2697225,0.112269606,0.113,69.7,139.4
2323,128.0700585,194.7909939,0.05819,87.32578657,11.565903,0.08331813,0.076,24.1,48.1
2350,85.7586812,132.8133217,0.1996,233.5990932,10.8080425,0.125016191,0.136,64.4,128.7
2351,74.73656893,161.9580094,0.1814,299.8399441,13.3424455,0.118065187,0.121,82.6,165.2
2366,13.57082982,123.4281694,0.04654,19.35471318,8.3393563,0.102549815,0.103,5.3,10.7
8010,111.6809361,117.1601803,0.2954,273.5657761,15.0771579,0.1275,,75.4,150.7
8011,111.7113942,111.7178764,0.1821,166.8103073,10.207344,0.1189,0.128,46.0,91.9
8013,111.5961665,104.8741898,0.1809,128.5643209,13.8944773,0.128770188,0.125,35.4,70.8
8014,125.0786144,112.0956062,0.3783,218.6010565,16.093136,0.155567722,0.153,60.2,120.4
8015,127.7801134,109.6008341,0.04609,74.98573339,5.1444959,0.06585,0.062,20.7,41.3
8016,129.8353413,111.2430158,0.0936,194.9759506,6.9448776,0.080681475,0.072,53.7,107.4
8018,93.66278339,197.5789019,0.06061,94.35922683,9.8243426,0.10049,0.09,26.0,52.0
8019,94.53387928,192.3863654,0.9405,477.5433966,21.9222305,0.274555253,0.273,131.6,263.1
8020,122.9876211,196.4059673,0.03627,76.45470183,6.613711,0.065124994,0.054,21.1,42.1
8021,131.3658623,193.9461716,0.05221,93.17317447,10.3177803,0.082829659,0.074,25.7,51.3
8022,128.5245429,198.7521522,0.2256,414.098724,8.24509,0.11237,0.111,114.1,228.2
8023,119.4928467,189.6589601,0.04893,91.25428775,8.0778359,0.06779,0.064,25.1,50.3
8024,115.3392795,185.6754229,0.0588,80.9216993,10.726576,0.08147,0.076,22.3,44.6
8027,131.3865828,120.3572569,0.9225,362.6411313,22.801548,0.245631831,0.255,99.9,199.8
8030,52.22808811,107.280027,0.02128,31.57292481,3.1141066,0.072853089,0.065,8.7,17.4
